start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng
McGinley Square,JC055,Grove St PATH,JC005,40.7253399253558,-74.06762212514877,40.71958611647166,-74.04311746358871
Jersey & 3rd,JC074,Grove St PATH,JC005,40.72333158646436,-74.04595255851744,40.71958611647166,-74.04311746358871
Jersey & 3rd,JC074,Grove St PATH,JC005,40.72333158646436,-74.04595255851744,40.71958611647166,-74.04311746358871
McGinley Square,JC055,Hilltop,JC019,40.7253399253558,-74.06762212514877,40.7311689,-74.0575736
Jersey & 3rd,JC074,Grove St PATH,JC005,40.72333158646436,-74.04595255851744,40.71958611647166,-74.04311746358871
Jersey & 3rd,JC074,Grove St PATH,JC005,40.72333158646436,-74.04595255851744,40.71958611647166,-74.04311746358871
Jersey & 3rd,JC074,Grove St PATH,JC005,40.72333158646436,-74.04595255851744,40.71958611647166,-74.04311746358871
Jersey & 3rd,JC074,Grove St PATH,JC005,40.72333158646436,-74.04595255851744,40.71958611647166,-74.04311746358871
Newport PATH,JC066,Hoboken Ave at Monmouth St,JC105,40.7272235,-74.0337589,40.73520838045357,-74.04696375131607
Newport PATH,JC066,Hoboken Ave at Monmouth St,JC105,40.7272235,-74.0337589,40.73520838045357,-74.04696375131607
Newport PATH,JC066,Hoboken Ave at Monmouth St,JC105,40.7272235,-74.0337589,40.73520838045357,-74.04696375131607
Newport PATH,JC066,Hoboken Ave at Monmouth St,JC105,40.7272235,-74.0337589,40.73520838045357,-74.04696375131607
McGinley Square,JC055,Grove St PATH,JC005,40.7253399253558,-74.06762212514877,40.71958611647166,-74.04311746358871
Dixon Mills,JC076,Grove St PATH,JC005,40.721630142638354,-74.04996782541275,40.71958611647166,-74.04311746358871
Dixon Mills,JC076,Grove St PATH,JC005,40.721630142638354,-74.04996782541275,40.71958611647166,-74.04311746358871
Dixon Mills,JC076,Grove St PATH,JC005,40.721630142638354,-74.04996782541275,40.71958611647166,-74.04311746358871
8 St & Washington St,HB603,Grove St PATH,JC005,40.74598388291562,-74.02819901704788,40.71958611647166,-74.04311746358871
Dixon Mills,JC076,Grove St PATH,JC005,40.721630142638354,-74.04996782541275,40.71958611647166,-74.04311746358871
Dixon Mills,JC076,Grove St PATH,JC005,40.721630142638354,-74.04996782541275,40.71958611647166,-74.04311746358871
Dixon Mills,JC076,Grove St PATH,JC005,40.721630142638354,-74.04996782541275,40.71958611647166,-74.04311746358871
8 St & Washington St,HB603,Grove St PATH,JC005,40.74598388291562,-74.02819901704788,40.71958611647166,-74.04311746358871
Dixon Mills,JC076,Grove St PATH,JC005,40.721630142638354,-74.04996782541275,40.71958611647166,-74.04311746358871
McGinley Square,JC055,Hilltop,JC019,40.7253399253558,-74.06762212514877,40.7311689,-74.0575736
Newport PATH,JC066,Grove St PATH,JC005,40.7272235,-74.0337589,40.71958611647166,-74.04311746358871
Jersey & 3rd,JC074,Grove St PATH,JC005,40.72333158646436,-74.04595255851744,40.71958611647166,-74.04311746358871
Jersey & 3rd,JC074,Grove St PATH,JC005,40.72333158646436,-74.04595255851744,40.71958611647166,-74.04311746358871
Newport PATH,JC066,Grove St PATH,JC005,40.7272235,-74.0337589,40.71958611647166,-74.04311746358871
Jersey & 3rd,JC074,Hilltop,JC019,40.72333158646436,-74.04595255851744,40.7311689,-74.0575736
Jersey & 3rd,JC074,Grove St PATH,JC005,40.72333158646436,-74.04595255851744,40.71958611647166,-74.04311746358871
McGinley Square,JC055,Grove St PATH,JC005,40.7253399253558,-74.06762212514877,40.71958611647166,-74.04311746358871
